Source: IEA. Licence: CC BY 4.0
This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/
,EV/EVSE,EV/EVSE,kW/EV electric,kW/EV
Korea,2,0,0,9.2
India,5,0,0,6.1
Netherlands,6,0,0,3
Greece,7.3,0,0,3.5
Belgium,8.2,0,0,2.8
China,9.9,0,0,4.8
Chile,10.2,0,0,3.1
Italy,10.5,0,0,2.8
World,0,11.1,0,4.1
European Union,0,0,11.3,4.1
South Africa,11.3,0,0,2.6
Türkiye,12,0,0,4
Spain,12.3,0,0,2.9
France,12.7,0,0,2.7
Denmark,13.3,0,0,2.7
Sweden,13.6,0,0,2.8
Poland,15,0,0,2.8
Germany,16.5,0,0,2.6
Finland,17.8,0,0,2.5
Japan,19,0,0,1.3
Malaysia,19.8,0,0,1.4
United Kingdom,22.5,0,0,1.5
Brazil,23.5,0,0,1
Switzerland,24.1,0,0,1.4
Canada,28.6,0,0,1.1
Thailand,30.9,0,0,1.1
United States,33.6,0,0,1.4
Norway,35.8,0,0,1.6
Australia,40.5,0,0,1.1
Mexico,40.6,0,0,0.6
Indonesia,40.9,0,0,0.9
New Zealand,88.4,0,0,0.7
